,trial,condition,rt,ID
10,11,congruent,356,1
11,12,congruent,527,1
12,13,incongruent,557,1
13,14,congruent,527,1
14,15,incongruent,642,1
15,16,congruent,506,1
16,17,incongruent,465,1
17,18,congruent,352,1
18,19,congruent,326,1
19,20,incongruent,527,1
20,21,congruent,525,1
21,22,congruent,380,1
22,23,incongruent,534,1
23,24,incongruent,611,1
24,25,incongruent,591,1
25,26,incongruent,482,1
26,27,congruent,432,1
27,28,congruent,465,1
28,29,congruent,287,1
29,30,congruent,352,1
30,31,congruent,333,1
31,32,incongruent,525,1
32,33,congruent,423,1
33,34,congruent,399,1
34,35,incongruent,619,1
35,36,incongruent,581,1
36,37,congruent,374,1
37,38,incongruent,641,1
38,39,congruent,587,1
39,40,incongruent,534,1
40,41,incongruent,527,1
41,42,congruent,306,1
42,43,congruent,517,1
43,44,congruent,512,1
44,45,congruent,411,1
45,46,incongruent,553,1
46,47,incongruent,475,1
47,48,congruent,348,1
48,49,congruent,535,1
49,50,incongruent,464,1
50,51,congruent,407,1
51,52,incongruent,476,1
52,53,congruent,421,1
53,54,congruent,379,1
54,55,incongruent,538,1
55,56,incongruent,603,1
56,57,incongruent,527,1
57,58,incongruent,550,1
58,59,congruent,384,1
59,60,incongruent,440,1
60,61,incongruent,539,1
61,62,congruent,393,1
62,63,incongruent,604,1
63,64,incongruent,421,1
64,65,incongruent,465,1
65,66,incongruent,518,1
66,67,congruent,381,1
67,68,incongruent,473,1
68,69,congruent,440,1
69,70,congruent,465,1
70,71,congruent,410,1
71,72,congruent,489,1
72,73,congruent,567,1
73,74,congruent,423,1
74,75,incongruent,517,1
75,76,congruent,436,1
76,77,incongruent,515,1
77,78,incongruent,695,1
78,79,congruent,334,1
79,80,congruent,262,1
80,81,incongruent,547,1
81,82,incongruent,559,1
82,83,congruent,450,1
83,84,incongruent,446,1
84,85,incongruent,774,1
85,86,congruent,458,1
86,87,congruent,373,1
87,88,congruent,355,1
88,89,congruent,384,1
89,90,congruent,391,1
90,91,congruent,365,1
91,92,incongruent,631,1
92,93,incongruent,524,1
93,94,congruent,320,1
94,95,congruent,428,1
95,96,incongruent,530,1
96,97,incongruent,566,1
97,98,incongruent,552,1
98,99,congruent,374,1
99,100,congruent,479,1
10,11,congruent,427,2
11,12,congruent,369,2
12,13,incongruent,468,2
13,14,incongruent,603,2
14,15,incongruent,644,2
15,16,congruent,370,2
16,17,incongruent,472,2
17,18,congruent,367,2
18,19,incongruent,463,2
19,20,congruent,460,2
20,21,congruent,360,2
21,22,congruent,316,2
22,23,congruent,538,2
23,24,congruent,516,2
24,25,incongruent,495,2
25,26,congruent,354,2
26,27,incongruent,596,2
27,28,incongruent,448,2
28,29,congruent,436,2
29,30,congruent,495,2
30,31,incongruent,490,2
31,32,incongruent,643,2
32,33,congruent,429,2
33,34,congruent,537,2
34,35,incongruent,510,2
35,36,congruent,370,2
36,37,congruent,280,2
37,38,congruent,424,2
38,39,congruent,483,2
39,40,congruent,436,2
40,41,congruent,462,2
41,42,congruent,380,2
42,43,incongruent,571,2
43,44,congruent,447,2
44,45,congruent,443,2
45,46,incongruent,707,2
46,47,incongruent,455,2
47,48,congruent,406,2
48,49,congruent,462,2
49,50,incongruent,567,2
50,51,incongruent,529,2
51,52,congruent,467,2
52,53,congruent,458,2
53,54,incongruent,555,2
54,55,congruent,532,2
55,56,congruent,440,2
56,57,incongruent,429,2
57,58,congruent,388,2
58,59,congruent,432,2
59,60,congruent,382,2
60,61,incongruent,628,2
61,62,congruent,323,2
62,63,congruent,422,2
63,64,congruent,506,2
64,65,congruent,333,2
65,66,congruent,460,2
66,67,incongruent,434,2
67,68,incongruent,504,2
68,69,incongruent,638,2
69,70,incongruent,603,2
70,71,incongruent,547,2
71,72,congruent,470,2
72,73,congruent,366,2
73,74,incongruent,506,2
74,75,incongruent,558,2
75,76,congruent,404,2
76,77,incongruent,583,2
77,78,incongruent,456,2
78,79,congruent,328,2
79,80,congruent,499,2
80,81,incongruent,505,2
81,82,incongruent,438,2
82,83,congruent,482,2
83,84,congruent,422,2
84,85,congruent,343,2
85,86,incongruent,471,2
86,87,incongruent,603,2
87,88,congruent,477,2
88,89,incongruent,544,2
89,90,congruent,488,2
90,91,congruent,342,2
91,92,incongruent,541,2
92,93,incongruent,569,2
93,94,incongruent,548,2
94,95,congruent,434,2
95,96,incongruent,440,2
96,97,congruent,354,2
97,98,incongruent,522,2
